province_name,province_name_en,plate_code,iso_code,region,nuts1_code,nuts2_code,nuts3_code,latitude,longitude,area_km2,city_center_elevation_m,population,population_male,population_female,population_density,population_growth_rate,median_age,district_count,gdp_try,gdp_per_capita_try,gdp_per_capita_usd,population_year,gdp_year,wikipedia_url,wikipedia_url_en,official_website
Kırşehir,Kirsehir,40,TR-40,Central Anatolia,TR7,TR71,TR715,39.1425,34.1709,6584,1007,242777,120876,121901,37,-0.72,,7,84867488386,347041,10572,2025,2024,https://tr.wikipedia.org/wiki/Kırşehir_(il),https://en.wikipedia.org/wiki/Kırşehir_Province,https://www.kirsehir.gov.tr/
Kocaeli,Kocaeli,41,TR-41,Marmara,TR4,TR42,TR421,40.765278,29.940833,3397,4,2161171,1088753,1072418,636,1.46,,12,1680304223238,788873,24031,2025,2024,https://tr.wikipedia.org/wiki/Kocaeli,https://en.wikipedia.org/wiki/Kocaeli_Province,https://www.kocaeli.gov.tr/
Konya,Konya,42,TR-42,Central Anatolia,TR5,TR52,TR521,37.87444,32.49306,40838,1016,2343409,1163850,1179559,57,0.57,,31,906008862184,388841,11845,2025,2024,https://tr.wikipedia.org/wiki/Konya_(il),https://en.wikipedia.org/wiki/Konya_Province,https://www.konya.gov.tr/
Kütahya,Kutahya,43,TR-43,Aegean,TR3,TR33,TR333,39.4242,29.9833,11634,970,570478,281375,289103,49,-0.11,,13,232162052574,406533,12384,2025,2024,https://tr.wikipedia.org/wiki/Kütahya_(il),https://en.wikipedia.org/wiki/Kütahya_Province,https://www.kutahya.gov.tr/
Malatya,Malatya,44,TR-44,Eastern Anatolia,TRB,TRB1,TRB11,38.3502,38.3167,12259,954,755854,378686,377168,62,0.71,35.1,13,274589647080,365880,11146,2025,2024,https://tr.wikipedia.org/wiki/Malatya_(il),https://en.wikipedia.org/wiki/Malatya_Province,https://www.malatya.gov.tr/
Manisa,Manisa,45,TR-45,Aegean,TR3,TR33,TR331,38.6144,27.4292,13339,71,1477756,741193,736563,111,0.16,38.27,17,670850385865,454705,13852,2025,2024,https://tr.wikipedia.org/wiki/Manisa_(il),https://en.wikipedia.org/wiki/Manisa_Province,https://www.manisa.gov.tr/
Kahramanmaraş,Kahramanmaras,46,TR-46,Mediterranean,TR6,TR63,TR632,37.5753,36.9228,14520,568,1146278,584074,562204,81,1.07,31.9,11,388302808635,342387,10430,2025,2024,https://tr.wikipedia.org/wiki/Kahramanmaraş_(il),https://en.wikipedia.org/wiki/Kahramanmaraş_Province,https://www.kahramanmaras.gov.tr/
Mardin,Mardin,47,TR-47,Southeastern Anatolia,TRC,TRC3,TRC31,37.31306,40.735,8779,1050,903576,453777,449799,103,0.86,,10,221662715976,247416,7537,2025,2024,https://tr.wikipedia.org/wiki/Mardin_(il),https://en.wikipedia.org/wiki/Mardin_Province,https://www.mardin.gov.tr/
Muğla,Mugla,48,TR-48,Aegean,TR3,TR32,TR323,37.217,28.367,12655,660,1099547,558628,540919,87,1.63,,13,569660314451,526553,16040,2025,2024,https://tr.wikipedia.org/wiki/Muğla_(il),https://en.wikipedia.org/wiki/Muğla_Province,https://www.mugla.gov.tr/
Muş,Mus,49,TR-49,Eastern Anatolia,TRB,TRB2,TRB22,38.7333,41.4911,8196,1350,389127,197610,191517,47,-0.81,25.3,6,90346920300,230300,7016,2025,2024,https://tr.wikipedia.org/wiki/Muş_(il),https://en.wikipedia.org/wiki/Muş_Province,https://www.mus.gov.tr/
Nevşehir,Nevsehir,50,TR-50,Central Anatolia,TR7,TR71,TR714,38.625,34.7122,5486,1150,320150,157815,162335,58,0.69,36.6,8,116129106432,365241,11126,2025,2024,https://tr.wikipedia.org/wiki/Nevşehir_(il),https://en.wikipedia.org/wiki/Nevşehir_Province,https://www.nevsehir.gov.tr/
Niğde,Nigde,51,TR-51,Central Anatolia,TR7,TR71,TR713,37.91583,34.69361,7234,1276,374492,187502,186990,52,0.48,,6,135219953232,362804,11052,2025,2024,https://tr.wikipedia.org/wiki/Niğde_(il),https://en.wikipedia.org/wiki/Niğde_Province,https://www.nigde.gov.tr/
Ordu,Ordu,52,TR-52,Black Sea,TR9,TR90,TR902,40.983,37.883,5914,5,768087,382776,385311,131,-0.34,,19,226421789713,293783,8949,2025,2024,https://tr.wikipedia.org/wiki/Ordu_(il),https://en.wikipedia.org/wiki/Ordu_Province,https://www.ordu.gov.tr/
Rize,Rize,53,TR-53,Black Sea,TR9,TR90,TR904,41.02472,40.52222,3835,6,346947,173549,173398,90,-0.01,,12,123433597980,355740,10837,2025,2024,https://tr.wikipedia.org/wiki/Rize_(il),https://en.wikipedia.org/wiki/Rize_Province,https://www.rize.gov.tr/
Sakarya,Sakarya,54,TR-54,Marmara,TR4,TR42,TR422,40.783,30.4,4824,31,1123693,563586,560107,233,1.17,,16,532515238110,479426,14605,2025,2024,https://tr.wikipedia.org/wiki/Sakarya_(il),https://en.wikipedia.org/wiki/Sakarya_Province,https://www.sakarya.gov.tr/
Samsun,Samsun,55,TR-55,Black Sea,TR8,TR83,TR831,41.2903,36.3336,9725,4,1392403,689283,703120,143,0.73,,17,510670430040,369415,11253,2025,2024,https://tr.wikipedia.org/wiki/Samsun_(il),https://en.wikipedia.org/wiki/Samsun_Province,https://www.samsun.gov.tr/
Siirt,Siirt,56,TR-56,Southeastern Anatolia,TRC,TRC3,TRC34,37.925,41.9458,5718,887,332369,169048,163321,58,-1.21,,7,88086759930,261810,7975,2025,2024,https://tr.wikipedia.org/wiki/Siirt_(il),https://en.wikipedia.org/wiki/Siirt_Province,https://www.siirt.gov.tr/
Sinop,Sinop,57,TR-57,Black Sea,TR8,TR82,TR823,42.02667,35.15111,5717,27,225848,112226,113622,39,-0.49,,9,72858417011,321023,9779,2025,2024,https://tr.wikipedia.org/wiki/Sinop_(il),https://en.wikipedia.org/wiki/Sinop_Province,https://www.sinop.gov.tr/
Sivas,Sivas,58,TR-58,Central Anatolia,TR7,TR72,TR722,39.75056,37.015,28164,1285,631401,315268,316133,22,-0.88,,17,223674815938,351134,10697,2025,2024,https://tr.wikipedia.org/wiki/Sivas_(il),https://en.wikipedia.org/wiki/Sivas_Province,https://www.sivas.gov.tr/
Tekirdağ,Tekirdag,59,TR-59,Marmara,TR2,TR21,TR211,40.9778,27.5183,6190,37,1208441,615806,592635,195,1.79,,11,717314146612,604226,18406,2025,2024,https://tr.wikipedia.org/wiki/Tekirdağ_(il),https://en.wikipedia.org/wiki/Tekirdağ_Province,https://www.tekirdag.gov.tr/
Tokat,Tokat,60,TR-60,Black Sea,TR8,TR83,TR832,40.3223,36.5582,10042,623,614141,305975,308166,61,0.24,,12,162068815198,264527,8058,2025,2024,https://tr.wikipedia.org/wiki/Tokat_(il),https://en.wikipedia.org/wiki/Tokat_Province,https://www.tokat.gov.tr/
Trabzon,Trabzon,61,TR-61,Black Sea,TR9,TR90,TR901,41.005,39.7225,4628,33,823323,408242,415081,178,0.13,,18,284479929630,345969,10539,2025,2024,https://tr.wikipedia.org/wiki/Trabzon_(il),https://en.wikipedia.org/wiki/Trabzon_Province,https://www.trabzon.gov.tr/
Tunceli,Tunceli,62,TR-62,Eastern Anatolia,TRB,TRB1,TRB14,39.1064,39.5472,7582,914,85083,44420,40663,11,-1.77,,8,41458999100,478675,14582,2025,2024,https://tr.wikipedia.org/wiki/Tunceli_(il),https://en.wikipedia.org/wiki/Tunceli_Province,https://www.tunceli.gov.tr/
Şanlıurfa,Sanliurfa,63,TR-63,Southeastern Anatolia,TRC,TRC2,TRC21,37.15833,38.79167,19242,477,2265800,1142783,1123017,118,1.25,,13,421018295280,188144,5731,2025,2024,https://tr.wikipedia.org/wiki/Şanlıurfa_(il),https://en.wikipedia.org/wiki/Şanlıurfa_Province,https://www.sanliurfa.gov.tr/
Uşak,Usak,64,TR-64,Aegean,TR3,TR33,TR334,38.67778,29.40417,5555,906,374405,185487,188918,67,-0.24,,6,149253280800,397680,12114,2025,2024,https://tr.wikipedia.org/wiki/Uşak_(il),https://en.wikipedia.org/wiki/Uşak_Province,https://www.usak.gov.tr/
Van,Van,65,TR-65,Eastern Anatolia,TRB,TRB2,TRB21,38.49417,43.38,20921,1726,1112013,566544,545469,53,-0.54,,13,227026447263,203049,6185,2025,2024,https://tr.wikipedia.org/wiki/Van_(il),https://en.wikipedia.org/wiki/Van_Province,https://www.van.gov.tr/
Yozgat,Yozgat,66,TR-66,Central Anatolia,TR7,TR72,TR723,39.82083,34.80833,13690,1300,413208,208491,204717,30,0.01,,14,125223728007,303087,9233,2025,2024,https://tr.wikipedia.org/wiki/Yozgat_(il),https://en.wikipedia.org/wiki/Yozgat_Province,https://www.yozgat.gov.tr/
Zonguldak,Zonguldak,67,TR-67,Black Sea,TR8,TR81,TR811,41.45639,31.79861,3342,60,585203,290246,294957,175,-0.27,,8,214095296502,364851,11114,2025,2024,https://tr.wikipedia.org/wiki/Zonguldak_(il),https://en.wikipedia.org/wiki/Zonguldak_Province,https://www.zonguldak.gov.tr/
Aksaray,Aksaray,68,TR-68,Central Anatolia,TR7,TR71,TR712,38.37417,34.02889,7659,980,441136,220441,220695,58,0.38,,8,177715814542,404383,12319,2025,2024,https://tr.wikipedia.org/wiki/Aksaray_(il),https://en.wikipedia.org/wiki/Aksaray_Province,https://www.aksaray.gov.tr/
Bayburt,Bayburt,69,TR-69,Black Sea,TRA,TRA1,TRA13,40.2597,40.2278,3746,1550,82836,41998,40838,22,-1.0,,3,27732904032,331432,10096,2025,2024,https://tr.wikipedia.org/wiki/Bayburt_(il),https://en.wikipedia.org/wiki/Bayburt_Province,https://www.bayburt.gov.tr/
Karaman,Karaman,70,TR-70,Central Anatolia,TR5,TR52,TR522,37.1819,33.2181,8678,1039,262355,130905,131450,30,-0.17,,6,123997933350,471850,14374,2025,2024,https://tr.wikipedia.org/wiki/Karaman_(il),https://en.wikipedia.org/wiki/Karaman_Province,https://www.karaman.gov.tr/
Kırıkkale,Kirikkale,71,TR-71,Central Anatolia,TR7,TR71,TR711,39.84,33.50528,4791,740,282830,142104,140726,59,-0.08,,9,123428374233,436061,13284,2025,2024,https://tr.wikipedia.org/wiki/Kırıkkale_(il),https://en.wikipedia.org/wiki/Kırıkkale_Province,https://www.kirikkale.gov.tr/
Batman,Batman,72,TR-72,Southeastern Anatolia,TRC,TRC3,TRC32,37.887,41.132,4477,540,662626,335382,327244,148,1.24,,6,154744818816,236422,7202,2025,2024,https://tr.wikipedia.org/wiki/Batman_(il),https://en.wikipedia.org/wiki/Batman_Province,https://www.batman.gov.tr/
Şırnak,Sirnak,73,TR-73,Southeastern Anatolia,TRC,TRC3,TRC33,37.52,42.459,7078,1343,573666,296986,276680,81,0.5,,7,174758379900,306150,9326,2025,2024,https://tr.wikipedia.org/wiki/Şırnak_(il),https://en.wikipedia.org/wiki/Şırnak_Province,https://www.sirnak.gov.tr/
Bartın,Bartin,74,TR-74,Black Sea,TR8,TR81,TR813,41.63444,32.3375,2330,27,206663,102394,104269,89,-0.03,,4,65835420060,318484,9702,2025,2024,https://tr.wikipedia.org/wiki/Bartın_(il),https://en.wikipedia.org/wiki/Bartın_Province,https://www.bartin.gov.tr/
Ardahan,Ardahan,75,TR-75,Eastern Anatolia,TRA,TRA2,TRA24,41.11111,42.70222,4934,1811,90392,47059,43333,18,-1.05,,6,35180790816,385104,11731,2025,2024,https://tr.wikipedia.org/wiki/Ardahan_(il),https://en.wikipedia.org/wiki/Ardahan_Province,https://www.ardahan.gov.tr/
Iğdır,Igdir,76,TR-76,Eastern Anatolia,TRA,TRA2,TRA23,39.92083,44.04444,3664,850,205071,105907,99164,56,-0.86,,4,54752979330,264690,8063,2025,2024,https://tr.wikipedia.org/wiki/Iğdır_(il),https://en.wikipedia.org/wiki/Iğdır_Province,https://www.igdir.gov.tr/
Yalova,Yalova,77,TR-77,Marmara,TR4,TR42,TR425,40.65502,29.27693,798,30,311635,155593,156042,390,1.22,,6,154320002742,501231,15269,2025,2024,https://tr.wikipedia.org/wiki/Yalova_(il),https://en.wikipedia.org/wiki/Yalova_Province,https://www.yalova.gov.tr/
Karabük,Karabuk,78,TR-78,Black Sea,TR8,TR81,TR812,41.20488,32.62768,4142,301,249614,126021,123593,60,-0.34,,6,92623007230,369785,11265,2025,2024,https://tr.wikipedia.org/wiki/Karabük_(il),https://en.wikipedia.org/wiki/Karabük_Province,https://www.karabuk.gov.tr/
Kilis,Kilis,79,TR-79,Southeastern Anatolia,TRC,TRC1,TRC13,36.717,37.117,1412,660,157363,79727,77636,111,0.4,,4,39743838013,253567,7724,2025,2024,https://tr.wikipedia.org/wiki/Kilis_(il),https://en.wikipedia.org/wiki/Kilis_Province,https://www.kilis.gov.tr/
Osmaniye,Osmaniye,80,TR-80,Mediterranean,TR6,TR63,TR633,37.075,36.25,3320,121,564123,283982,280141,170,0.55,,7,177383923638,316158,9631,2025,2024,https://tr.wikipedia.org/wiki/Osmaniye_(il),https://en.wikipedia.org/wiki/Osmaniye_Province,https://www.osmaniye.gov.tr/
Düzce,Duzce,81,TR-81,Black Sea,TR4,TR42,TR423,40.8417,31.1583,2492,146,415622,207675,207947,167,0.79,,8,185721386976,450404,13721,2025,2024,https://tr.wikipedia.org/wiki/Düzce_(il),https://en.wikipedia.org/wiki/Düzce_Province,https://www.duzce.gov.tr/
